epoch, wall, LR,training_loss_virial,training_loss_f,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,validation_loss_virial,validation_loss_f,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse
         1,  181.624,    0.001,           6.8618,        0.0022445,            6.864,         7.47,         29.1,         0.36,        0.526,         0.063092,       0.00052382,         0.063615,         1.68,         2.79,         0.19,        0.254
         2,  349.410,    0.001,          0.25819,       0.00037605,          0.25857,          2.8,         5.64,        0.159,        0.215,          0.76023,       0.00020465,          0.76043,         5.61,         9.67,        0.117,        0.159
         3,  516.754,    0.001,          0.85144,       0.00035904,           0.8518,         4.06,         10.2,        0.141,         0.21,          0.04035,       0.00010844,         0.040459,         1.21,         2.23,       0.0851,        0.116
         4,  684.442,    0.001,          0.13809,        0.0001039,          0.13819,         1.97,         4.12,       0.0819,        0.113,          0.18095,       0.00014163,          0.18109,         2.59,         4.72,       0.0925,        0.132
         5,  851.881,    0.001,          0.17431,       0.00010474,          0.17442,         2.23,         4.63,       0.0809,        0.114,         0.040753,       6.2012e-05,         0.040815,         1.11,         2.24,        0.061,       0.0874
         6, 1019.853,    0.001,          0.17916,        0.0001051,          0.17926,         2.17,          4.7,       0.0779,        0.114,         0.059366,       7.2482e-05,         0.059439,         1.46,         2.71,       0.0665,       0.0945
         7, 1188.007,    0.001,           0.1626,       0.00015743,          0.16276,         1.94,         4.47,       0.0843,        0.139,          0.27386,       0.00023286,          0.27409,         3.18,          5.8,        0.127,        0.169
         8, 1356.219,    0.001,         0.080918,       6.0697e-05,         0.080978,         1.57,         3.16,       0.0603,       0.0865,         0.085299,       4.6469e-05,         0.085346,         1.67,         3.24,       0.0516,       0.0757
         9, 1524.134,    0.001,         0.071986,       5.8553e-05,         0.072044,         1.51,         2.98,       0.0586,       0.0849,         0.059439,       4.3675e-05,         0.059482,         1.46,         2.71,       0.0467,       0.0733
        10, 1691.999,    0.001,         0.054375,       4.9352e-05,         0.054424,         1.29,         2.59,       0.0534,        0.078,         0.041873,       5.1056e-05,         0.041924,         1.18,         2.27,       0.0553,       0.0793
        11, 1859.861,    0.001,         0.056728,        5.451e-05,         0.056783,          1.3,         2.64,       0.0562,       0.0819,         0.047231,       4.0917e-05,         0.047271,          1.3,         2.41,       0.0473,        0.071
        12, 2027.661,    0.001,           0.0482,       5.0353e-05,          0.04825,         1.21,         2.44,       0.0536,       0.0787,         0.051433,       5.5858e-05,         0.051489,         1.21,         2.52,       0.0562,       0.0829
        13, 2195.415,    0.001,          0.04463,       4.7977e-05,         0.044678,         1.14,         2.34,       0.0512,       0.0768,         0.032092,       3.3385e-05,         0.032126,        0.893,         1.99,       0.0398,       0.0641
        14, 2363.436,    0.001,         0.038673,       4.4066e-05,         0.038718,         1.04,         2.18,       0.0499,       0.0736,         0.045507,        3.871e-05,         0.045546,         1.24,         2.37,       0.0461,        0.069
        15, 2531.145,    0.001,         0.038273,       4.2355e-05,         0.038315,         1.03,         2.17,       0.0483,       0.0722,         0.034434,       5.5682e-05,          0.03449,         1.01,         2.06,       0.0579,       0.0828
        16, 2698.686,    0.001,         0.036952,       4.0906e-05,         0.036993,         1.02,         2.13,       0.0474,        0.071,         0.033133,       3.3027e-05,         0.033166,        0.918,         2.02,       0.0388,       0.0638
        17, 2866.454,    0.001,         0.035125,       3.7355e-05,         0.035162,        0.969,         2.08,       0.0442,       0.0678,          0.03286,       3.9371e-05,         0.032899,         0.94,         2.01,       0.0454,       0.0696
        18, 3034.168,    0.001,         0.034356,       3.5368e-05,         0.034391,        0.947,         2.06,       0.0426,        0.066,         0.041364,       3.9685e-05,         0.041404,         1.06,         2.26,       0.0451,       0.0699
        19, 3201.937,    0.001,         0.034249,        3.438e-05,         0.034284,        0.937,         2.05,       0.0413,       0.0651,         0.034675,       3.6509e-05,         0.034712,         1.03,         2.07,       0.0432,        0.067
        20, 3369.660,    0.001,           0.0338,       3.2918e-05,         0.033833,        0.917,         2.04,       0.0399,       0.0637,         0.031733,       3.2792e-05,         0.031766,         0.85,         1.98,       0.0386,       0.0636
        21, 3537.849,    0.001,         0.032854,       3.1642e-05,         0.032886,        0.905,         2.01,       0.0382,       0.0624,         0.032602,       3.9552e-05,         0.032641,        0.933,         2.01,       0.0449,       0.0698
        22, 3705.596,    0.001,         0.033027,        3.015e-05,         0.033057,        0.896,         2.02,       0.0363,       0.0609,          0.03425,       2.9933e-05,          0.03428,        0.901,         2.06,       0.0345,       0.0607
        23, 3873.441,    0.001,         0.032584,       2.9903e-05,         0.032614,        0.878,            2,       0.0356,       0.0607,         0.033253,       3.1372e-05,         0.033284,        0.978,         2.03,       0.0359,       0.0622
        24, 4041.079,    0.001,         0.032229,       2.9469e-05,         0.032259,         0.87,         1.99,       0.0353,       0.0602,         0.031694,       3.0591e-05,         0.031724,        0.895,         1.98,        0.034,       0.0614
        25, 4209.124,    0.001,          0.03227,       2.9185e-05,         0.032299,        0.868,         1.99,       0.0346,         0.06,         0.031602,       3.0594e-05,         0.031632,        0.881,         1.98,       0.0339,       0.0614
        26, 4377.191,    0.001,         0.032033,       2.8828e-05,         0.032062,        0.861,         1.99,        0.034,       0.0596,         0.032554,       3.1217e-05,         0.032585,        0.945,         2.01,       0.0361,        0.062
        27, 4544.949,    0.001,         0.031935,       2.8865e-05,         0.031964,        0.857,         1.98,       0.0341,       0.0596,          0.03147,       3.1372e-05,         0.031502,        0.878,         1.97,       0.0345,       0.0622
        28, 4712.820,    0.001,         0.032071,       2.9254e-05,         0.032101,        0.861,         1.99,       0.0344,         0.06,         0.031504,       3.0116e-05,         0.031535,        0.836,         1.97,       0.0332,       0.0609
        29, 4880.505,    0.001,         0.031774,        2.922e-05,         0.031803,         0.85,         1.98,       0.0347,         0.06,         0.031255,       3.2532e-05,         0.031287,         0.86,         1.97,       0.0366,       0.0633
        30, 5048.606,    0.001,         0.031924,       2.8426e-05,         0.031953,        0.849,         1.98,       0.0334,       0.0592,         0.031206,       2.9691e-05,         0.031236,        0.844,         1.96,       0.0325,       0.0605
        31, 5216.654,    0.001,         0.031938,       2.8264e-05,         0.031966,        0.852,         1.98,       0.0329,        0.059,         0.031079,       3.1109e-05,          0.03111,        0.855,         1.96,       0.0355,       0.0619
        32, 5384.772,    0.001,         0.032007,       2.8695e-05,         0.032036,         0.85,         1.99,       0.0336,       0.0594,         0.031447,       2.9937e-05,         0.031477,        0.879,         1.97,       0.0328,       0.0607
        33, 5552.864,    0.001,         0.031859,       2.8331e-05,         0.031887,        0.849,         1.98,       0.0332,       0.0591,         0.031068,        3.047e-05,         0.031098,        0.846,         1.96,       0.0339,       0.0613
        34, 5721.124,    0.001,         0.031814,       2.8348e-05,         0.031842,        0.851,         1.98,       0.0333,       0.0591,         0.031207,       3.2168e-05,         0.031239,        0.886,         1.96,       0.0369,       0.0629
        35, 5889.199,    0.001,         0.031798,       2.8765e-05,         0.031827,        0.849,         1.98,       0.0336,       0.0595,         0.031169,       3.0244e-05,         0.031199,        0.834,         1.96,       0.0331,        0.061
        36, 6057.240,    0.001,         0.031595,       2.9291e-05,         0.031624,         0.85,         1.97,       0.0341,       0.0601,         0.031272,       3.8506e-05,         0.031311,        0.866,         1.97,        0.044,       0.0689
        37, 6225.212,    0.001,          0.03171,       2.8898e-05,         0.031739,        0.852,         1.98,       0.0341,       0.0597,         0.031168,       3.0133e-05,         0.031198,        0.837,         1.96,       0.0324,       0.0609
        38, 6392.954,    0.001,         0.031682,        2.912e-05,         0.031711,        0.851,         1.97,       0.0342,       0.0599,         0.031557,       3.2115e-05,         0.031589,        0.878,         1.97,       0.0356,       0.0629
        39, 6560.626,    0.001,         0.031739,       2.8959e-05,         0.031768,        0.846,         1.98,       0.0341,       0.0597,         0.031193,       3.0044e-05,         0.031223,        0.862,         1.96,       0.0334,       0.0608
        40, 6728.513,    0.001,         0.031714,       2.8294e-05,         0.031742,        0.845,         1.98,        0.033,        0.059,         0.032504,       3.5498e-05,          0.03254,        0.915,            2,       0.0403,       0.0661
        41, 6896.429,    0.001,         0.031617,       2.8868e-05,         0.031646,        0.854,         1.97,        0.034,       0.0596,          0.03106,       3.0061e-05,          0.03109,        0.853,         1.96,        0.033,       0.0608
        42, 7064.648,    0.001,         0.031634,       2.8546e-05,         0.031663,        0.847,         1.97,       0.0335,       0.0593,          0.03181,       3.0044e-05,          0.03184,        0.831,         1.98,       0.0324,       0.0608
        43, 7232.719,    0.001,         0.031818,       2.8539e-05,         0.031847,        0.846,         1.98,       0.0334,       0.0592,         0.031026,        3.035e-05,         0.031056,        0.861,         1.96,       0.0335,       0.0611
        44, 7400.924,    0.001,         0.031642,        2.833e-05,          0.03167,        0.848,         1.97,       0.0334,       0.0591,         0.031344,        3.037e-05,         0.031374,        0.838,         1.97,       0.0334,       0.0612
        45, 7568.725,    0.001,         0.031645,       2.8185e-05,         0.031673,         0.85,         1.97,       0.0328,       0.0589,         0.031122,       3.0404e-05,         0.031152,        0.843,         1.96,       0.0332,       0.0612
        46, 7736.439,    0.001,         0.031609,       2.8468e-05,         0.031637,        0.845,         1.97,       0.0332,       0.0591,         0.031507,       3.1251e-05,         0.031538,        0.894,         1.97,       0.0355,        0.062
        47, 7904.225,    0.001,         0.031605,       2.8652e-05,         0.031633,        0.848,         1.97,       0.0337,       0.0594,         0.031226,       3.0847e-05,         0.031257,        0.854,         1.96,       0.0338,       0.0616
        48, 8072.136,    0.001,         0.031517,       2.8507e-05,         0.031545,        0.847,         1.97,       0.0333,       0.0593,         0.031198,       3.0512e-05,         0.031229,        0.837,         1.96,       0.0333,       0.0613
        49, 8239.959,    0.001,         0.031666,       2.9046e-05,         0.031695,        0.849,         1.97,       0.0338,       0.0598,         0.031084,       3.0662e-05,         0.031114,        0.845,         1.96,       0.0336,       0.0614
        50, 8408.011,    0.001,         0.031464,       3.0264e-05,         0.031494,         0.85,         1.97,       0.0351,        0.061,         0.031149,       3.0801e-05,          0.03118,        0.853,         1.96,       0.0339,       0.0616
        51, 8575.939,    0.001,         0.031464,       3.0825e-05,         0.031495,        0.854,         1.97,       0.0358,       0.0616,         0.031777,       3.1762e-05,         0.031809,        0.883,         1.98,       0.0353,       0.0625
        52, 8743.765,    0.001,         0.031471,       3.0315e-05,         0.031501,        0.852,         1.97,       0.0352,       0.0611,         0.031044,       3.2504e-05,         0.031076,        0.854,         1.96,       0.0353,       0.0633
        53, 8911.606,    0.001,          0.03141,       3.0784e-05,         0.031441,        0.852,         1.97,       0.0357,       0.0616,         0.031256,       3.1926e-05,         0.031288,         0.87,         1.97,       0.0356,       0.0627
        54, 9079.391,    0.001,         0.031558,       3.0739e-05,         0.031588,        0.851,         1.97,       0.0357,       0.0615,         0.030981,       3.1574e-05,         0.031013,        0.844,         1.96,        0.035,       0.0623
        55, 9247.372,    0.001,          0.03143,       3.0599e-05,          0.03146,        0.851,         1.97,       0.0353,       0.0614,         0.030972,       3.2237e-05,         0.031005,        0.852,         1.96,       0.0358,        0.063
        56, 9415.552,    0.001,         0.031492,       3.1007e-05,         0.031523,        0.851,         1.97,       0.0359,       0.0618,         0.031009,       3.0994e-05,          0.03104,        0.849,         1.96,        0.034,       0.0618
        57, 9583.393,    0.001,         0.031414,        3.065e-05,         0.031445,         0.85,         1.97,       0.0355,       0.0614,         0.031107,       3.2613e-05,          0.03114,        0.858,         1.96,       0.0358,       0.0634
        58, 9751.121,    0.001,         0.031431,       3.1369e-05,         0.031462,        0.851,         1.97,        0.036,       0.0621,         0.031274,       3.4635e-05,         0.031308,         0.85,         1.97,       0.0392,       0.0653
        59, 9919.238,    0.001,         0.031411,       3.1571e-05,         0.031442,        0.852,         1.97,       0.0366,       0.0623,         0.031147,       3.2364e-05,         0.031179,        0.858,         1.96,       0.0353,       0.0631
        60, 10087.167,    0.001,         0.031424,       3.0675e-05,         0.031454,        0.851,         1.97,       0.0356,       0.0614,         0.031136,       3.3362e-05,         0.031169,         0.86,         1.96,       0.0367,       0.0641
        61, 10255.001,    0.001,         0.031406,       3.1416e-05,         0.031438,         0.85,         1.97,       0.0365,       0.0622,         0.031161,       3.3451e-05,         0.031195,        0.849,         1.96,       0.0365,       0.0642
        62, 10422.861,    0.001,         0.031399,       3.1289e-05,         0.031431,         0.85,         1.97,       0.0359,        0.062,         0.031044,       3.2546e-05,         0.031077,        0.862,         1.96,       0.0375,       0.0633
        63, 10590.825,    0.001,         0.031376,       3.0965e-05,         0.031407,        0.849,         1.97,        0.036,       0.0618,         0.031587,       3.5974e-05,         0.031623,        0.896,         1.98,       0.0405,       0.0665
        64, 10758.909,    0.001,         0.031425,       3.0965e-05,         0.031456,        0.853,         1.97,       0.0359,       0.0617,         0.031269,       3.3286e-05,         0.031302,         0.85,         1.97,       0.0368,        0.064
        65, 10927.032,    0.001,         0.031392,       3.1129e-05,         0.031423,        0.851,         1.97,       0.0361,       0.0619,         0.032337,       3.8236e-05,         0.032375,        0.956,            2,        0.043,       0.0686
        66, 11095.144,    0.001,         0.031382,       3.1159e-05,         0.031413,        0.851,         1.97,       0.0361,       0.0619,         0.031084,       3.2874e-05,         0.031117,        0.874,         1.96,       0.0368,       0.0636
        67, 11262.988,    0.001,         0.031377,       3.1437e-05,         0.031408,        0.853,         1.97,       0.0361,       0.0622,         0.031065,       3.3327e-05,         0.031098,        0.857,         1.96,       0.0367,        0.064
        68, 11430.890,    0.001,         0.031362,       3.1199e-05,         0.031394,        0.853,         1.96,       0.0363,       0.0619,          0.03113,       3.2012e-05,         0.031163,         0.87,         1.96,       0.0351,       0.0628
        69, 11598.754,    0.001,         0.031403,       3.1366e-05,         0.031434,        0.853,         1.97,        0.036,       0.0621,         0.031064,       3.3321e-05,         0.031097,        0.865,         1.96,       0.0367,        0.064
        70, 11766.643,    0.001,         0.031332,       3.1422e-05,         0.031364,        0.853,         1.96,       0.0362,       0.0622,         0.031207,       3.2732e-05,          0.03124,        0.865,         1.96,       0.0367,       0.0635
        71, 11934.361,    0.001,         0.031296,       3.2569e-05,         0.031328,        0.856,         1.96,       0.0373,       0.0633,         0.031377,       3.4036e-05,         0.031411,        0.893,         1.97,       0.0393,       0.0647
        72, 12102.149,    0.001,         0.031331,       3.1924e-05,         0.031363,        0.853,         1.96,       0.0368,       0.0627,         0.031187,       3.1836e-05,         0.031219,        0.876,         1.96,       0.0359,       0.0626
        73, 12269.898,    0.001,         0.031266,         3.24e-05,         0.031298,        0.856,         1.96,       0.0374,       0.0631,         0.031245,       3.1051e-05,         0.031276,        0.835,         1.96,       0.0342,       0.0618
        74, 12437.764,    0.001,         0.031194,       3.2171e-05,         0.031226,        0.854,         1.96,       0.0372,       0.0629,         0.031045,       3.2883e-05,         0.031078,        0.856,         1.96,       0.0365,       0.0636
        75, 12605.555,    0.001,         0.031233,       3.2988e-05,         0.031266,        0.854,         1.96,        0.038,       0.0637,         0.030986,       3.3729e-05,         0.031019,        0.868,         1.96,       0.0377,       0.0644
        76, 12773.462,    0.001,         0.031235,       3.1826e-05,         0.031267,        0.855,         1.96,        0.037,       0.0626,         0.031562,       3.5293e-05,         0.031597,        0.849,         1.97,       0.0385,       0.0659
        77, 12941.368,    0.001,          0.03128,       3.1965e-05,         0.031312,        0.851,         1.96,        0.037,       0.0627,         0.031186,       3.4314e-05,          0.03122,        0.854,         1.96,       0.0375,        0.065
        78, 13109.023,    0.001,          0.03117,       3.3746e-05,         0.031204,        0.857,         1.96,       0.0387,       0.0645,         0.031075,       3.2941e-05,         0.031108,        0.869,         1.96,       0.0373,       0.0637
        79, 13276.962,    0.001,         0.031235,       3.3638e-05,         0.031269,        0.857,         1.96,       0.0388,       0.0643,         0.031174,       3.8813e-05,         0.031213,        0.878,         1.96,       0.0414,       0.0691
        80, 13444.813,    0.001,         0.031229,       3.4336e-05,         0.031264,        0.857,         1.96,       0.0393,        0.065,          0.03117,       3.7405e-05,         0.031207,        0.883,         1.96,       0.0414,       0.0678
