epoch, wall, LR,training_loss_virial,training_loss_f,training_loss_e,training_loss,training_virial_mae,training_virial_rmse,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_virial,validation_loss_f,validation_loss_e,validation_loss,validation_virial_mae,validation_virial_rmse,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
         1,   56.357,    0.001,           1.9691,        0.0016964,           1.2811,           3.2519,          5.2,         15.4,        0.321,        0.453,         4.85,         12.5,           0.1227,       0.00078856,         0.015121,          0.13861,         2.41,         3.86,        0.229,        0.309,         1.02,         1.35
         2,  104.206,    0.001,          0.50743,       0.00053941,          0.17365,          0.68163,         3.99,         7.84,        0.186,        0.256,         3.53,         4.59,          0.14165,       0.00039702,         0.031449,          0.17349,         2.45,         4.15,        0.158,        0.219,         1.39,         1.96
         3,  152.403,    0.001,          0.16719,        0.0003025,         0.057266,          0.22476,         2.44,          4.5,        0.139,        0.191,         2.04,         2.63,          0.15826,       0.00022059,          0.04832,           0.2068,         2.57,         4.38,        0.118,        0.163,         2.31,         2.42
         4,  199.905,    0.001,          0.28331,       0.00031532,         0.089476,           0.3731,         2.89,         5.86,        0.141,        0.195,          2.4,         3.29,          0.06047,       0.00027216,           0.2038,          0.26455,          1.5,         2.71,        0.135,        0.182,         4.57,         4.97
         5,  247.711,    0.001,          0.19105,       0.00030622,          0.10352,          0.29488,         2.44,         4.81,        0.139,        0.193,          2.7,         3.54,          0.38827,        0.0002054,         0.039261,          0.42774,         3.95,         6.86,        0.113,        0.158,         2.07,         2.18
         6,  295.764,    0.001,          0.11594,       0.00025196,         0.057733,          0.17392,         1.98,         3.75,        0.126,        0.175,         2.01,         2.64,         0.099655,       0.00018712,         0.010391,          0.11023,         1.99,         3.47,        0.108,        0.151,        0.825,         1.12
         7,  344.057,    0.001,          0.10747,       0.00024571,         0.043424,          0.15114,         1.94,         3.61,        0.125,        0.173,         1.77,         2.29,          0.17803,       0.00041856,         0.031479,          0.20993,          2.7,         4.65,        0.167,        0.225,         1.71,         1.95
         8,  391.929,    0.001,         0.089541,       0.00024948,         0.045155,          0.13495,         1.77,         3.29,        0.126,        0.174,         1.79,         2.34,          0.16732,        0.0002483,         0.046505,          0.21408,         2.62,          4.5,        0.128,        0.173,         2.29,         2.37
         9,  440.353,    0.001,         0.072269,       0.00021129,         0.030723,           0.1032,          1.6,         2.96,        0.116,         0.16,         1.51,         1.93,         0.057701,       0.00023644,         0.008295,         0.066233,         1.59,         2.65,        0.126,        0.169,        0.875,            1
        10,  488.670,    0.001,          0.06101,        0.0002021,         0.027095,         0.088307,         1.48,         2.72,        0.114,        0.156,          1.4,         1.81,         0.054315,       0.00032604,         0.025321,         0.079962,         1.47,         2.57,        0.147,        0.199,         1.35,         1.75
        11,  536.322,    0.001,         0.062615,       0.00020261,         0.026624,         0.089442,         1.47,         2.75,        0.113,        0.157,         1.33,          1.8,          0.03873,       0.00019885,         0.016575,         0.055504,         1.19,         2.17,        0.116,        0.155,          1.3,         1.42
        12,  584.502,    0.001,         0.052363,       0.00014898,         0.012549,         0.065061,         1.36,         2.52,       0.0976,        0.134,        0.945,         1.23,         0.034853,       0.00014555,         0.011361,         0.046359,         1.05,         2.06,        0.096,        0.133,        0.928,         1.17
        13,  632.968,    0.001,         0.046235,        0.0001328,         0.013771,         0.060139,         1.26,         2.37,       0.0912,        0.127,        0.946,         1.29,         0.042957,       0.00014096,        0.0074385,         0.050537,         1.23,         2.28,        0.096,        0.131,        0.718,        0.949
        14,  680.619,    0.001,         0.044906,       0.00013087,         0.013254,         0.058292,         1.24,         2.33,       0.0901,        0.126,        0.957,         1.27,         0.054672,       9.1566e-05,        0.0039007,         0.058665,         1.48,         2.58,       0.0765,        0.105,        0.555,        0.688
        15,  728.473,    0.001,         0.041908,       0.00011255,        0.0097913,         0.051812,         1.16,         2.25,       0.0825,        0.117,        0.815,         1.09,          0.02862,        0.0001056,         0.012771,         0.041497,        0.928,         1.87,       0.0794,        0.113,         1.13,         1.24
        16,  776.748,    0.001,         0.037519,       9.8774e-05,        0.0087336,         0.046352,          1.1,         2.13,       0.0773,        0.109,        0.773,         1.03,          0.04425,       0.00017723,        0.0092463,         0.053674,         1.22,         2.32,         0.11,        0.147,        0.852,         1.06
        17,  825.133,    0.001,         0.038083,       9.9609e-05,        0.0062395,         0.044423,         1.11,         2.15,       0.0767,         0.11,        0.664,         0.87,         0.034854,       0.00011565,        0.0042601,         0.039229,         1.14,         2.06,       0.0838,        0.118,        0.571,        0.719
        18,  873.058,    0.001,         0.035796,        9.245e-05,        0.0068472,         0.042735,         1.05,         2.08,       0.0736,        0.106,        0.695,        0.911,         0.033387,       0.00013327,        0.0050148,         0.038535,         1.04,         2.01,       0.0896,        0.127,        0.541,         0.78
        19,  921.154,    0.001,         0.035017,       9.2464e-05,        0.0064264,         0.041536,         1.04,         2.06,       0.0737,        0.106,        0.657,        0.883,         0.027061,       8.0106e-05,        0.0025573,         0.029698,        0.843,         1.81,       0.0666,       0.0986,        0.428,        0.557
        20,  969.181,    0.001,         0.033292,       8.7712e-05,        0.0061259,         0.039505,        0.998,         2.01,        0.071,        0.103,        0.645,        0.862,         0.032805,       6.4813e-05,        0.0024703,          0.03534,        0.959,            2,       0.0594,       0.0887,        0.426,        0.547
        21, 1016.791,    0.001,         0.032732,       8.5531e-05,        0.0054223,         0.038239,        0.983,         1.99,         0.07,        0.102,        0.607,        0.811,         0.038648,       6.4227e-05,        0.0039686,         0.042681,         1.18,         2.17,        0.058,       0.0883,        0.552,        0.693
        22, 1064.437,    0.001,         0.032854,       8.5292e-05,         0.003797,         0.036736,        0.991,         1.99,       0.0701,        0.102,        0.515,        0.678,         0.028656,       7.3361e-05,        0.0040861,         0.032815,        0.887,         1.87,       0.0654,       0.0943,        0.591,        0.704
        23, 1113.259,    0.001,         0.032231,       8.0703e-05,        0.0036258,         0.035937,        0.966,         1.97,       0.0676,       0.0989,        0.509,        0.663,         0.030612,        9.288e-05,        0.0099472,         0.040652,        0.994,         1.93,       0.0726,        0.106,        0.887,          1.1
        24, 1161.322,    0.001,         0.031433,        7.701e-05,        0.0038785,         0.035389,        0.948,         1.95,       0.0658,       0.0966,        0.518,        0.685,         0.028606,       7.5992e-05,        0.0040932,         0.032776,        0.917,         1.86,       0.0646,        0.096,        0.562,        0.704
        25, 1209.267,    0.001,          0.03092,       7.6399e-05,        0.0035365,         0.034533,        0.936,         1.94,       0.0655,       0.0962,        0.501,        0.655,         0.028092,       7.1917e-05,         0.001912,         0.030076,        0.902,         1.85,        0.062,       0.0934,        0.373,        0.482
        26, 1256.816,    0.001,         0.030561,       7.4934e-05,        0.0038406,         0.034477,        0.925,         1.92,       0.0649,       0.0953,        0.514,        0.682,         0.031059,       7.0353e-05,         0.002096,         0.033226,        0.958,         1.94,       0.0615,       0.0924,        0.392,        0.505
        27, 1305.048,    0.001,         0.030663,       7.2749e-05,        0.0032459,         0.033982,         0.92,         1.93,       0.0639,       0.0939,        0.481,        0.627,         0.031649,       8.6525e-05,        0.0051671,         0.036903,        0.999,         1.96,       0.0705,        0.102,        0.634,        0.791
        28, 1353.160,    0.001,         0.030452,       7.5635e-05,        0.0039109,         0.034439,        0.918,         1.92,       0.0652,       0.0957,        0.522,        0.688,         0.027808,       8.0137e-05,        0.0019786,         0.029867,        0.873,         1.84,       0.0679,       0.0986,        0.377,         0.49
        29, 1400.731,    0.001,          0.03002,       7.5918e-05,        0.0028105,         0.032907,        0.905,         1.91,       0.0654,       0.0959,        0.451,        0.583,         0.027219,       8.5258e-05,        0.0016843,         0.028989,        0.876,         1.82,       0.0666,        0.102,        0.349,        0.452
        30, 1448.574,    0.001,         0.030184,       7.6856e-05,        0.0031918,         0.033453,        0.921,         1.91,       0.0656,       0.0965,        0.475,        0.622,         0.026847,       7.2641e-05,        0.0043605,          0.03128,        0.833,         1.81,       0.0627,       0.0939,        0.555,        0.727
        31, 1496.888,    0.001,         0.029653,       7.4374e-05,        0.0032348,         0.032962,        0.893,          1.9,       0.0644,       0.0949,        0.478,        0.626,         0.028184,       7.6804e-05,        0.0026526,         0.030913,        0.915,         1.85,       0.0651,       0.0965,         0.45,        0.567
        32, 1544.487,    0.001,         0.029869,       7.7602e-05,        0.0025107,         0.032458,          0.9,          1.9,       0.0662,        0.097,        0.429,        0.551,         0.027098,       7.8386e-05,        0.0017725,         0.028949,         0.83,         1.81,       0.0659,       0.0975,        0.365,        0.464
        33, 1592.195,    0.001,         0.029713,       7.7448e-05,        0.0026327,         0.032423,        0.898,          1.9,        0.066,       0.0969,         0.44,        0.565,         0.026321,       8.8721e-05,        0.0023261,         0.028736,        0.829,         1.79,       0.0713,        0.104,        0.381,        0.532
        34, 1639.751,    0.001,         0.029206,        7.956e-05,        0.0029282,         0.032214,        0.887,         1.88,       0.0669,       0.0982,        0.453,        0.596,         0.028848,       8.1597e-05,        0.0014266,         0.030356,        0.946,         1.87,       0.0672,       0.0995,        0.328,        0.416
        35, 1687.484,    0.001,         0.029525,        7.832e-05,        0.0029534,         0.032557,        0.899,         1.89,       0.0663,       0.0974,         0.45,        0.598,         0.026563,       7.8778e-05,        0.0023914,         0.029033,        0.837,          1.8,       0.0658,       0.0978,        0.433,        0.538
        36, 1735.243,    0.001,         0.029134,       8.2797e-05,        0.0026136,         0.031831,        0.885,         1.88,       0.0679,          0.1,        0.429,        0.563,         0.026387,       6.9819e-05,        0.0024465,         0.028903,        0.809,         1.79,        0.062,        0.092,        0.412,        0.545
        37, 1783.277,    0.001,         0.029396,        8.081e-05,        0.0021877,         0.031665,        0.889,         1.89,        0.067,       0.0989,          0.4,        0.515,         0.026624,       6.5044e-05,        0.0019322,         0.028621,        0.831,          1.8,       0.0574,       0.0888,        0.366,        0.484
        38, 1831.276,    0.001,         0.028983,       8.0911e-05,        0.0023711,         0.031435,        0.879,         1.87,       0.0668,        0.099,        0.414,        0.536,         0.028582,       7.5679e-05,        0.0017206,         0.030378,        0.847,         1.86,       0.0641,       0.0958,        0.357,        0.457
        39, 1878.731,    0.001,         0.029084,       8.1021e-05,        0.0020303,         0.031195,        0.882,         1.88,        0.067,       0.0991,        0.386,        0.496,         0.028143,       7.9844e-05,        0.0019708,         0.030193,        0.876,         1.85,       0.0675,       0.0984,        0.376,        0.489
        40, 1927.164,    0.001,         0.028809,        8.487e-05,        0.0021551,         0.031049,        0.877,         1.87,       0.0686,        0.101,        0.391,        0.511,         0.028593,       9.1671e-05,        0.0022344,         0.030919,        0.866,         1.86,       0.0716,        0.105,        0.421,        0.521
        41, 1974.590,    0.001,         0.029137,       8.1853e-05,         0.002266,         0.031485,         0.88,         1.88,       0.0671,       0.0996,          0.4,        0.524,         0.026365,       8.1675e-05,        0.0028889,         0.029336,        0.836,         1.79,        0.067,       0.0995,        0.448,        0.592
        42, 2021.982,    0.001,         0.028895,       8.4751e-05,        0.0022257,         0.031206,        0.878,         1.87,       0.0685,        0.101,        0.398,        0.519,         0.027805,       8.0716e-05,        0.0012855,         0.029172,        0.903,         1.84,       0.0667,       0.0989,        0.308,        0.395
        43, 2070.011,    0.001,         0.028782,       8.3923e-05,        0.0020135,         0.030879,        0.873,         1.87,       0.0676,        0.101,        0.381,        0.494,         0.026274,       7.2711e-05,        0.0023866,         0.028734,        0.822,         1.79,        0.062,       0.0939,         0.41,        0.538
        44, 2117.550,    0.001,         0.028765,       8.5376e-05,        0.0023861,         0.031237,        0.872,         1.87,       0.0685,        0.102,        0.405,        0.538,         0.026742,       9.2557e-05,        0.0013008,         0.028136,        0.819,          1.8,       0.0728,        0.106,        0.307,        0.398
        45, 2165.530,    0.001,         0.028744,       8.5602e-05,        0.0019494,         0.030779,        0.875,         1.87,       0.0685,        0.102,        0.375,        0.486,         0.026057,       8.3503e-05,        0.0012326,         0.027373,        0.807,         1.78,       0.0663,        0.101,        0.294,        0.387
        46, 2213.386,    0.001,         0.028818,       8.6195e-05,        0.0024549,         0.031359,        0.872,         1.87,       0.0684,        0.102,        0.411,        0.545,         0.026153,       8.4491e-05,        0.0015399,         0.027777,        0.842,         1.78,       0.0669,        0.101,        0.328,        0.432
        47, 2261.231,    0.001,         0.028527,       8.8612e-05,        0.0018988,         0.030515,        0.869,         1.86,       0.0686,        0.104,        0.366,         0.48,         0.026877,       0.00012008,        0.0020993,         0.029096,        0.864,         1.81,       0.0824,        0.121,        0.397,        0.504
        48, 2308.736,    0.001,         0.028465,       9.1251e-05,         0.002007,         0.030564,        0.872,         1.86,       0.0705,        0.105,        0.377,        0.493,          0.02757,       8.0916e-05,        0.0029306,         0.030581,        0.826,         1.83,       0.0665,       0.0991,         0.47,        0.596
        49, 2356.222,    0.001,         0.028728,       8.5124e-05,        0.0019796,         0.030793,        0.866,         1.87,       0.0682,        0.102,        0.373,         0.49,         0.027161,       0.00010438,        0.0041058,         0.031371,        0.874,         1.82,       0.0741,        0.112,        0.629,        0.705
        50, 2403.706,    0.001,         0.028608,       9.0932e-05,        0.0021799,         0.030879,        0.871,         1.86,       0.0702,        0.105,        0.383,        0.514,         0.026945,       9.9168e-05,        0.0020258,          0.02907,         0.86,         1.81,       0.0731,         0.11,        0.386,        0.496
        51, 2451.194,    0.001,         0.028389,        9.353e-05,        0.0016752,         0.030157,        0.871,         1.86,       0.0711,        0.106,        0.348,         0.45,         0.026092,       7.9132e-05,        0.0037486,         0.029919,        0.808,         1.78,       0.0625,        0.098,        0.534,        0.675
        52, 2499.108,    0.001,         0.028511,       8.8125e-05,        0.0018053,         0.030404,        0.865,         1.86,       0.0689,        0.103,        0.362,        0.468,         0.026647,       8.2372e-05,        0.0017529,         0.028482,        0.802,          1.8,       0.0667,          0.1,        0.371,        0.461
        53, 2547.018,    0.001,         0.028593,       9.0293e-05,        0.0018179,         0.030501,        0.865,         1.86,       0.0696,        0.105,        0.363,        0.469,         0.026599,       0.00010521,        0.0012984,         0.028002,        0.851,          1.8,       0.0763,        0.113,        0.302,        0.397
        54, 2595.095,    0.001,         0.028601,       9.0835e-05,        0.0017372,         0.030429,        0.862,         1.86,       0.0699,        0.105,        0.352,        0.459,         0.027871,         9.33e-05,        0.0054135,         0.033378,        0.872,         1.84,       0.0736,        0.106,         0.71,         0.81
        55, 2643.468,    0.001,          0.02864,       9.0936e-05,        0.0016841,         0.030415,         0.87,         1.86,       0.0703,        0.105,        0.346,        0.451,         0.026199,       8.5808e-05,        0.0049137,         0.031199,        0.816,         1.78,       0.0689,        0.102,        0.593,        0.772
        56, 2690.951,    0.001,         0.028449,       9.0465e-05,        0.0016867,         0.030226,        0.862,         1.86,       0.0698,        0.105,         0.35,        0.452,         0.026057,         7.68e-05,        0.0042677,         0.030401,        0.795,         1.78,       0.0659,       0.0965,        0.567,         0.72
        57, 2739.065,    0.001,         0.028398,       9.0152e-05,        0.0017249,         0.030213,         0.86,         1.86,       0.0699,        0.105,        0.351,        0.457,         0.026402,       9.9088e-05,         0.001057,         0.027558,        0.832,         1.79,       0.0721,         0.11,        0.282,        0.358
        58, 2787.285,    0.001,         0.028189,       9.2867e-05,        0.0016999,         0.029982,        0.861,         1.85,       0.0709,        0.106,         0.35,        0.454,         0.027077,       0.00010071,         0.001046,         0.028223,        0.871,         1.81,       0.0727,         0.11,        0.281,        0.356
        59, 2835.245,    0.001,         0.028203,       9.0947e-05,         0.001565,         0.029859,        0.871,         1.85,       0.0698,        0.105,        0.333,        0.436,         0.026587,       9.3228e-05,        0.0016747,         0.028355,         0.86,          1.8,       0.0729,        0.106,        0.318,        0.451
        60, 2882.743,    0.001,         0.028368,       9.0703e-05,        0.0016235,         0.030082,        0.866,         1.85,       0.0698,        0.105,        0.347,        0.444,         0.026481,       9.4175e-05,       0.00087817,         0.027453,        0.848,         1.79,       0.0725,        0.107,        0.253,        0.327
        61, 2930.891,    0.001,         0.028148,       9.0387e-05,        0.0015425,         0.029781,         0.86,         1.85,       0.0699,        0.105,        0.335,        0.432,         0.030135,       0.00011246,        0.0016772,         0.031924,        0.973,         1.91,       0.0797,        0.117,        0.369,        0.451
        62, 2978.239,    0.001,         0.028214,       9.1143e-05,        0.0014089,         0.029714,        0.864,         1.85,       0.0697,        0.105,        0.316,        0.413,         0.027192,       0.00010057,        0.0026469,         0.029939,        0.862,         1.82,       0.0756,         0.11,        0.485,        0.567
        63, 3026.181,    0.001,         0.028263,       9.2641e-05,        0.0015433,         0.029899,        0.862,         1.85,       0.0708,        0.106,        0.331,        0.432,         0.027127,       8.7659e-05,        0.0013169,         0.028532,        0.833,         1.82,       0.0679,        0.103,        0.302,          0.4
        64, 3073.576,    0.001,         0.028068,       9.1076e-05,        0.0016381,         0.029797,        0.859,         1.84,       0.0697,        0.105,        0.343,        0.446,         0.026739,       8.7848e-05,       0.00095057,         0.027777,        0.863,          1.8,       0.0695,        0.103,        0.267,         0.34
        65, 3121.185,    0.001,         0.028225,       9.3029e-05,        0.0014526,          0.02977,        0.859,         1.85,       0.0707,        0.106,        0.324,         0.42,         0.026322,       9.1377e-05,       0.00089278,         0.027306,        0.839,         1.79,       0.0708,        0.105,         0.26,        0.329
        66, 3169.201,    0.001,         0.028103,       9.3398e-05,        0.0014748,         0.029671,        0.863,         1.85,       0.0709,        0.106,        0.329,        0.423,         0.027713,       0.00010457,        0.0009553,         0.028772,        0.874,         1.83,        0.072,        0.113,        0.257,        0.341
        67, 3217.479,    0.001,         0.027963,       9.2179e-05,        0.0013816,         0.029437,        0.855,         1.84,         0.07,        0.106,        0.314,        0.409,         0.026604,       0.00011146,       0.00091282,         0.027628,         0.87,          1.8,       0.0796,        0.116,        0.255,        0.333
        68, 3265.238,    0.001,         0.028025,       9.1317e-05,        0.0015142,         0.029631,        0.861,         1.84,         0.07,        0.105,        0.326,        0.428,         0.026868,       9.4248e-05,       0.00090083,         0.027863,        0.865,         1.81,        0.072,        0.107,        0.257,        0.331
        69, 3313.160,    0.001,         0.028132,       9.2934e-05,         0.001308,         0.029533,        0.862,         1.85,       0.0704,        0.106,        0.307,        0.398,         0.026875,       0.00010447,       0.00099754,         0.027977,        0.848,         1.81,       0.0744,        0.113,        0.273,        0.348
        70, 3360.745,    0.001,         0.027955,       9.5793e-05,        0.0014579,         0.029508,        0.859,         1.84,       0.0714,        0.108,        0.324,         0.42,         0.026372,       9.8245e-05,         0.001302,         0.027772,        0.833,         1.79,       0.0734,        0.109,        0.305,        0.397
        71, 3408.307,    0.001,         0.028073,       9.5183e-05,        0.0014591,         0.029627,        0.861,         1.84,       0.0719,        0.107,        0.325,        0.421,          0.02572,        9.872e-05,        0.0013728,         0.027192,        0.807,         1.77,       0.0718,        0.109,        0.317,        0.408
        72, 3455.780,    0.001,         0.027916,       9.3662e-05,        0.0014337,         0.029444,        0.856,         1.84,       0.0708,        0.107,        0.322,        0.417,         0.026028,       8.9867e-05,        0.0010466,         0.027164,        0.822,         1.78,       0.0712,        0.104,        0.268,        0.357
        73, 3503.239,    0.001,         0.027963,       9.6324e-05,        0.0014318,         0.029492,        0.858,         1.84,       0.0722,        0.108,        0.323,        0.417,         0.026225,       8.9989e-05,        0.0021984,         0.028513,         0.83,         1.79,       0.0697,        0.104,        0.392,        0.517
        74, 3551.271,    0.001,         0.027954,       9.6574e-05,        0.0013404,         0.029391,        0.858,         1.84,       0.0717,        0.108,        0.311,        0.403,         0.026124,       0.00010477,        0.0010168,         0.027245,        0.843,         1.78,       0.0764,        0.113,        0.277,        0.352
        75, 3599.024,    0.001,         0.027917,       9.7428e-05,        0.0014043,         0.029419,         0.86,         1.84,       0.0718,        0.109,        0.316,        0.413,         0.026246,       0.00010563,       0.00091775,          0.02727,        0.821,         1.79,       0.0762,        0.113,        0.271,        0.334
        76, 3646.400,    0.001,         0.027765,        0.0001009,        0.0012652,         0.029131,        0.856,         1.83,       0.0734,        0.111,        0.303,        0.392,         0.026967,       9.9518e-05,        0.0011899,         0.028257,        0.856,         1.81,       0.0733,         0.11,        0.307,         0.38
        77, 3694.576,    0.001,         0.027759,       9.7176e-05,        0.0013721,         0.029228,        0.855,         1.83,        0.072,        0.109,         0.31,        0.408,         0.026071,       0.00010486,       0.00086788,         0.027044,        0.828,         1.78,       0.0751,        0.113,        0.254,        0.325
        78, 3742.137,    0.001,         0.027723,       0.00010152,        0.0012663,         0.029091,        0.857,         1.83,       0.0733,        0.111,        0.301,        0.392,         0.028947,       8.9297e-05,        0.0008972,         0.029934,        0.853,         1.88,       0.0708,        0.104,         0.26,         0.33
        79, 3789.589,    0.001,         0.027877,       9.8782e-05,        0.0013764,         0.029352,        0.856,         1.84,       0.0727,        0.109,        0.314,        0.408,         0.026029,       0.00011421,        0.0012999,         0.027443,        0.813,         1.78,       0.0753,        0.118,        0.308,        0.397
        80, 3837.427,    0.001,          0.02749,        0.0001057,        0.0011608,         0.028756,        0.857,         1.83,       0.0746,        0.113,        0.293,        0.375,         0.026165,       9.8667e-05,        0.0013084,         0.027573,        0.813,         1.78,       0.0731,        0.109,        0.329,        0.398
        81, 3885.721,    0.001,         0.027653,       0.00010393,        0.0013061,         0.029064,         0.86,         1.83,       0.0745,        0.112,        0.308,        0.398,         0.025924,       9.5359e-05,        0.0008549,         0.026874,        0.821,         1.78,       0.0722,        0.108,        0.249,        0.322
        82, 3933.219,    0.001,         0.027665,        0.0001017,        0.0012532,          0.02902,        0.859,         1.83,       0.0734,        0.111,        0.304,         0.39,         0.026624,       9.7818e-05,       0.00089489,         0.027617,        0.824,          1.8,       0.0735,        0.109,        0.255,         0.33
        83, 3980.605,    0.001,         0.027332,       9.8574e-05,        0.0013336,         0.028764,        0.855,         1.82,       0.0722,        0.109,         0.31,        0.402,          0.03122,        0.0002403,        0.0027252,         0.034186,         1.06,         1.95,        0.109,        0.171,        0.466,        0.575
        84, 4029.128,    0.001,         0.027666,       0.00010531,        0.0012164,         0.028988,        0.861,         1.83,       0.0748,        0.113,          0.3,        0.384,         0.026384,        0.0001038,       0.00098513,         0.027473,        0.832,         1.79,       0.0751,        0.112,        0.275,        0.346
        85, 4077.250,    0.001,         0.027601,       0.00010487,        0.0011838,          0.02889,         0.86,         1.83,       0.0748,        0.113,        0.296,        0.379,         0.026415,         0.000108,        0.0011952,         0.027719,        0.833,         1.79,       0.0758,        0.114,        0.303,         0.38
        86, 4125.462,    0.001,         0.027519,       0.00010261,        0.0012507,         0.028872,        0.858,         1.83,       0.0738,        0.112,          0.3,        0.389,         0.026172,       0.00011293,        0.0047933,         0.031078,        0.839,         1.78,       0.0756,        0.117,        0.648,        0.763
        87, 4172.944,    0.001,         0.027502,       0.00011096,        0.0012755,         0.028888,        0.855,         1.83,       0.0764,        0.116,        0.302,        0.393,         0.026427,       0.00010523,       0.00087548,         0.027407,        0.821,         1.79,       0.0745,        0.113,        0.258,        0.326
        88, 4220.410,    0.001,         0.027374,       0.00010729,         0.001143,         0.028624,        0.853,         1.82,       0.0749,        0.114,        0.285,        0.372,         0.026454,       0.00010971,        0.0010098,         0.027574,        0.835,         1.79,       0.0771,        0.115,        0.269,         0.35
        89, 4268.278,    0.001,         0.027458,       0.00011398,        0.0011078,          0.02868,        0.857,         1.82,       0.0769,        0.118,        0.285,        0.366,         0.025749,        0.0001009,         0.002193,         0.028043,        0.827,         1.77,       0.0744,        0.111,        0.392,        0.516
        90, 4315.666,    0.001,         0.027425,       0.00011038,        0.0010408,         0.028576,        0.859,         1.82,       0.0765,        0.116,        0.277,        0.355,         0.025722,       9.4982e-05,        0.0011231,          0.02694,          0.8,         1.77,       0.0708,        0.107,        0.302,        0.369
        91, 4363.593,    0.001,         0.027289,        0.0001105,        0.0012172,         0.028617,        0.853,         1.82,       0.0762,        0.116,        0.295,        0.384,            0.027,       0.00013895,       0.00084193,         0.027981,        0.878,         1.81,       0.0844,         0.13,         0.25,         0.32
        92, 4411.342,    0.001,         0.027462,        0.0001105,         0.001105,         0.028677,         0.86,         1.82,       0.0764,        0.116,        0.285,        0.366,         0.026916,       8.8343e-05,       0.00098096,         0.027985,        0.817,         1.81,       0.0684,        0.104,        0.263,        0.345
        93, 4458.767,    0.001,         0.027192,       0.00010827,        0.0011073,         0.028408,        0.858,         1.81,       0.0756,        0.115,        0.283,        0.366,         0.026044,       0.00012206,        0.0012225,         0.027389,        0.838,         1.78,       0.0772,        0.122,        0.302,        0.385
        94, 4506.177,    0.001,         0.027268,       0.00011081,        0.0011192,         0.028498,        0.857,         1.82,       0.0762,        0.116,        0.285,        0.368,         0.026606,       9.6278e-05,        0.0011025,         0.027805,        0.826,          1.8,       0.0701,        0.108,        0.274,        0.366
        95, 4553.738,    0.001,         0.027266,       0.00010924,        0.0011962,         0.028572,        0.852,         1.82,       0.0758,        0.115,        0.291,        0.381,          0.02719,       9.3966e-05,       0.00084914,         0.028133,        0.847,         1.82,       0.0724,        0.107,        0.252,        0.321
        96, 4601.624,    0.001,         0.027163,       0.00011094,        0.0011018,         0.028376,        0.856,         1.81,       0.0765,        0.116,         0.28,        0.365,         0.026865,        0.0001382,       0.00077463,         0.027778,        0.855,         1.81,       0.0865,        0.129,        0.244,        0.306
        97, 4649.115,    0.001,         0.027252,       0.00011215,        0.0010722,         0.028437,        0.855,         1.82,       0.0771,        0.117,         0.28,         0.36,         0.026607,       0.00013627,        0.0011734,         0.027917,        0.862,          1.8,       0.0827,        0.129,        0.295,        0.378
        98, 4696.976,    0.001,         0.027194,       0.00011736,        0.0010643,         0.028375,        0.856,         1.82,       0.0786,        0.119,        0.277,        0.359,         0.026407,        9.834e-05,        0.0019846,          0.02849,        0.827,         1.79,       0.0726,        0.109,        0.382,         0.49
        99, 4744.403,    0.001,         0.027083,       0.00011349,       0.00096347,          0.02816,        0.853,         1.81,       0.0769,        0.117,        0.265,        0.342,         0.026711,       9.7186e-05,       0.00096375,         0.027772,        0.821,          1.8,       0.0717,        0.109,        0.265,        0.342
